state,innovatescore_boehmkeskinner,soc_capital,partisan_knowledge_scale,persfree,legprofscore,acounty,amuni,atown,local_gov_total
Arizona,0.184766,-0.64462411,,,,15.0,87.0,0.0,102.0
Arizona,0.22118,-0.48281372,1.78,9.286767783,,15.0,90.0,0.0,105.0
Arizona,0.22118,-0.42402562,,,,15.0,90.0,0.0,105.0
Arizona,0.022222,0.75587773,,-3.832823616,,15.0,90.0,0.0,105.0
Arizona,0.022222,,,,,15.0,90.0,0.0,105.0
Arizona,,,,-1.87406674,,15.0,90.0,0.0,105.0
Arizona,,,,,,15.0,91.0,0.0,106.0
Arizona,,,,,,15.0,91.0,0.0,106.0
Arizona,,,,,,15.0,91.0,0.0,106.0
Arizona,,,,,,15.0,91.0,0.0,106.0
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
Arizona,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
California,,,,,,,,,
California,0.0,,,,,,,,
California,0.0,,,,,,,,
California,0.002688,,,,,,,,
California,0.002688,,,,,,,,
California,0.194478,,,,,,,,
California,0.194478,,,,,,,,
California,0.001721,,,,,,,,
California,0.001721,,,,,,,,
California,0.001344,,,,,,,,
California,0.001344,,,,,,,,
California,0.121713,,,,,,,,
California,0.121713,,,,,,,,
California,0.003546,,,,,,,,
California,0.003546,,,,,,,,
California,0.173172,,,,,,,,
California,0.173172,,,,,,,,
California,0.068054,,,,,,,,
California,0.068054,,,,,,,,
California,0.058616,,,,,,,,
California,0.058616,,,,,,,,
California,0.044746,,,,,,,,
California,0.044746,,,,,,,,
California,0.246015,,,,,,,,
California,0.246015,,,,,,,,
California,0.105,,,,,,,,
California,0.105,,,,,,,,
California,0.086775,,,,,,,,
California,0.086775,,,,,,,,
California,0.04751,,,,,,,,
California,0.04751,,,,,,,,
California,0.000522,,,,,,,,
California,0.000522,,,,,,,,
California,0.000378,,,,,,,,
California,0.000378,,,,,,,,
California,0.031857,,,,,,,,
California,0.031857,,,,,,,,
California,0.032596,,,,,,,,
California,0.032596,,,,,,,,
